ep._ep.#original_broadcast_date_original_broadcast_date#average_audience_share_(nielsen_korea)[13]_nationwide#average_audience_share_(nielsen_korea)[13]_seoul
1#April 19, 2025##6.782% (1st)
2#April 20, 2025#6.126% (1st)#7.156% (1st)
3#April 26, 2025#5.962% (1st)#6.751% (1st)
4#April 27, 2025#6.381% (1st)#7.222% (1st)
5#May 3, 2025#5.918% (1st)#6.363% (1st)
6#May 4, 2025#6.692% (1st)#7.134% (1st)
7#May 10, 2025#6.410% (1st)#7.466% (1st)
8#May 11, 2025#6.885% (1st)#7.640% (1st)
9#May 17, 2025#6.108% (1st)#6.666% (1st)
10#May 18, 2025#<NA>#<NA>
11#May 24, 2025#<NA>#<NA>
12#May 25, 2025#<NA>#<NA>
Average#Average#__#__
