rank#bib#name#country#distance_(m)#points#deficit#total
<NA>#34#Yuna Kasai#Japan#96.5#121.9#–0.9#121.0
<NA>#36#Gyda Westvold Hansen#Norway#94.5#118.7#0.0#118.7
<NA>#29#Haruka Kasai#Japan#96.0#122.3#–6.7#115.6
4.0#30#Alexa Brabec#United States#93.0#116.0#–4.6#111.4
5.0#26#Jenny Nowak#Germany#95.0#119.1#–7.9#111.2
6.0#33#Nathalie Armbruster#Germany#89.0#110.0#–1.1#108.9
7.0#23#Lisa Hirner#Austria#94.0#119.6#–13.9#105.7
8.0#35#Marte Leinan Lund#Norway#88.0#102.6#–0.5#102.1
9.0#5#Ingrid Låte#Norway#100.5#129.0#–35.0#94.0
10.0#32#Ida Marie Hagen#Norway#86.8#95.6#–1.8#93.8
11.0#28#Ema Volavšek#Slovenia#86.0#95.1#–7.5#87.6
12.0#31#Minja Korhonen#Finland#87.0#91.7#–4.3#87.4
13.0#8#Annalena Slamik#Austria#100.5#116.4#–30.3#86.1
14.0#20#Claudia Purker#Austria#91.5#101.0#–15.6#85.4
15.0#27#Léna Brocard#France#83.5#91.0#–7.9#83.1
16.0#21#Tia Malovrh#Slovenia#91.5#97.8#–15.4#82.4
17.0#14#Trine Göpfert#Germany#93.5#103.3#–23.2#80.1
18.0#10#Teja Pavec#Slovenia#94.5#104.4#–26.0#78.4
19.0#22#Yuzuki Kainuma#Japan#86.0#90.1#–14.0#76.1
19.0#15#Heta Hirvonen#Finland#90.5#98.8#–22.7#76.1
21.0#7#Maria Gerboth#Germany#94.5#104.7#–33.6#71.1
22.0#11#Katharina Gruber#Austria#87.5#90.9#–23.8#67.1
23.0#25#Maša Likozar Brankovič#Slovenia#77.0#78.7#–12.7#66.0
24.0#12#Veronica Gianmoena#Italy#85.0#84.4#–23.6#60.8
25.0#9#Annika Malacinski#United States#85.0#85.0#–26.5#58.5
26.0#16#Sana Azegami#Japan#82.0#79.6#–21.9#57.7
27.0#24#Daniela Dejori#Italy#75.5#67.8#–13.8#54.0
28.0#13#Marion Droz Vincent#France#82.0#77.0#–23.4#53.6
29.0#18#Joanna Kil#Poland#78.0#70.1#–17.7#52.4
30.0#19#Greta Pinzani#Italy#77.0#65.0#–17.3#47.7
31.0#17#Kai McKinnon#United States#74.0#55.4#–21.6#33.8
32.0#6#Anna Senoner#Italy#77.0#65.9#–34.9#31.0
33.0#1#Karina Kozlova#Ukraine#89.5#94.5#–77.8#16.7
34.0#4#Tereza Koldovská#Czech Republic#69.5#41.3#–37.8#3.5
35.0#3#Jolana Hradilová#Czech Republic#67.5#43.4#–43.5#–0.1
36.0#2#Ella Wilson#United States#68.5#48.7#–53.9#–5.2
