rank#bib#athlete#country#time#deficit
<NA>#4#Ebba Andersson#Sweden#47:57.1#<NA>
<NA>#7#Therese Johaug#Norway#47:57.1#+0.0
<NA>#17#Jonna Sundling#Sweden#48:07.3#+10.2
4.0#16#Frida Karlsson#Sweden#48:07.6#+10.5
5.0#6#Heidi Weng#Norway#48:08.1#+11.0
6.0#27#Nadja Kälin#Switzerland#49:13.2#+1:16.1
7.0#11#Krista Pärmäkoski#Finland#49:13.5#+1:16.4
8.0#2#Astrid Øyre Slind#Norway#49:23.7#+1:26.6
9.0#3#Victoria Carl#Germany#49:41.3#+1:44.2
10.0#9#Kristin Austgulen Fosnæs#Norway#49:41.9#+1:44.8
11.0#18#Emma Ribom#Sweden#49:59.6#+2:02.5
12.0#15#Helen Hoffmann#Germany#49:59.9#+2:02.8
13.0#1#Jessie Diggins#United States#49:59.9#+2:02.8
14.0#21#Nadine Fähndrich#Switzerland#50:01.0#+2:03.9
15.0#12#Flora Dolci#France#50:02.9#+2:05.8
16.0#5#Teresa Stadlober#Austria#50:05.1#+2:08.0
17.0#10#Moa Ilar#Sweden#50:38.1#+2:41.0
18.0#13#Kateřina Janatová#Czech Republic#51:02.2#+3:05.1
19.0#25#Anja Weber#Switzerland#51:02.3#+3:05.2
20.0#8#Pia Fink#Germany#51:03.2#+3:06.1
21.0#26#Katherine Sauerbrey#Germany#51:03.7#+3:06.6
22.0#33#Anna Comarella#Italy#51:16.0#+3:18.9
23.0#14#Sophia Laukli#United States#51:16.8#+3:19.7
24.0#29#Anja Mandeljc#Slovenia#51:40.7#+3:43.6
25.0#30#Masae Tsuchiya#Japan#51:41.9#+3:44.8
26.0#22#Julia Kern#United States#51:46.5#+3:49.4
27.0#35#Jasmin Kahara#Finland#51:46.6#+3:49.5
28.0#32#Vilma Ryytty#Finland#51:48.6#+3:51.5
29.0#28#Martina Di Centa#Italy#51:55.3#+3:58.2
30.0#24#Liliane Gagnon#Canada#52:12.7#+4:15.6
31.0#36#Keidy Kaasiku#Estonia#52:14.1#+4:17.0
32.0#34#Maria Gismondi#Italy#52:15.9#+4:18.8
33.0#23#Marina Kälin#Switzerland#52:17.9#+4:20.8
34.0#40#Katharina Brudermann#Austria#52:27.4#+4:30.3
35.0#31#Kaidy Kaasiku#Estonia#52:14.1#+4:51.0
36.0#20#Caterina Ganz#Italy#52:55.4#+4:58.3
37.0#38#Chika Kobayashi#Japan#53:07.5#+5:10.4
38.0#47#Rosie Fordham#Australia#53:13.4#+5:16.3
39.0#37#Gina del Rio#Andorra#53:19.8#+5:22.7
40.0#43#Alayna Sonnesyn#United States#53:26.3#+5:29.2
41.0#39#Katri Lylynperä#Finland#53:26.6#+5:29.5
42.0#46#Izabela Marcisz#Poland#53:26.8#+5:29.7
43.0#45#Chika Honda#Japan#53:27.4#+5:30.3
44.0#44#Alison Mackie#Canada#53:34.1#+5:37.0
45.0#42#Barbora Havlíčková#Czech Republic#54:34.4#+6:37.3
46.0#41#Shiori Yokohama#Japan#54:44.3#+6:47.2
47.0#19#Katherine Stewart-Jones#Canada#54:52.0#+6:54.9
48.0#56#Sophia Tsu Velicer#Chinese Taipei#54:57.0#+6:59.9
49.0#50#Sonjaa Schmidt#Canada#55:41.2#+7:44.1
