rank#bib#name#country#distance_(m)#points
1#60#Nika Prevc#Slovenia#99.5#147.6
2#53#Anna Odine Strøm#Norway#101.5#139.7
3#57#Jacqueline Seifriedsberger#Austria#95.0#137.1
4#56#Eirin Maria Kvandal#Norway#95.0#135.6
5#55#Lisa Eder#Austria#92.5#129.3
6#58#Selina Freitag#Germany#92.0#129.1
7#49#Agnes Reisch#Germany#95.0#125.1
8#54#Eva Pinkelnig#Austria#92.0#124.2
9#52#Ema Klinec#Slovenia#93.0#124.0
10#48#Yuki Ito#Japan#93.5#123.2
11#42#Nozomi Maruyama#Japan#94.0#120.9
11#50#Sara Takanashi#Japan#95.5#120.9
13#46#Abigail Strate#Canada#93.5#120.4
14#51#Alexandria Loutitt#Canada#92.0#117.5
15#38#Heidi Dyhre Tråserud#Norway#99.0#116.8
16#43#Ingvild Synnøve Midtskogen#Norway#94.5#116.0
17#47#Lara Malsiner#Italy#91.0#115.1
18#40#Julia Mühlbacher#Austria#92.0#112.1
19#44#Juliane Seyfarth#Germany#90.5#110.9
20#32#Anna Twardosz#Poland#94.5#110.8
21#34#Liu Qi#China#99.0#110.0
22#39#Joséphine Pagnier#France#89.0#109.7
23#31#Paige Jones#United States#91.5#107.4
24#36#Annika Belshaw#United States#90.0#106.6
25#59#Katharina Schmid#Germany#80.0#106.4
26#35#Nicole Maurer#Canada#93.5#105.0
27#45#Yūka Setō#Japan#87.0#104.5
28#29#Tina Erzar#Slovenia#88.0#103.9
29#37#Annika Sieff#Italy#91.0#103.2
30#33#Julia Kykkänen#Finland#91.0#102.4
31#28#Emma Chervet#France#89.0#101.5
32#24#Weng Yangning#China#92.0#100.1
33#25#Katra Komar#Slovenia#90.0#100.0
34#41#Jenny Rautionaho#Finland#85.5#99.2
35#21#Karolína Indráčková#Czech Republic#89.0#99.1
36#30#Luisa Görlich#Germany#93.0#98.5
37#12#Frida Westman#Sweden#88.0#95.2
38#27#Martina Ambrosi#Italy#86.5#94.2
38#1#Veronika Jenčová#Czech Republic#86.0#94.2
40#23#Anežka Indráčková#Czech Republic#86.5#93.7
41#7#Jessica Malsiner#Italy#84.5#92.7
42#9#Klára Ulrichová#Czech Republic#86.5#91.2
43#20#Daniela Haralambie#Romania#86.0#90.8
44#26#Dong Bing#China#85.5#86.4
45#8#Kira Mária Kapustíková#Slovakia#85.5#84.9
46#11#Zhanna Hlukhova#Ukraine#82.5#83.3
47#22#Josie Johnson#United States#81.5#82.5
48#16#Sina Arnet#Switzerland#81.5#81.5
49#3#Nicole Konderla#Poland#79.5#79.5
50#19#Zhou Shiyu#China#79.0#76.5
