rank#bib#name#country#distance_(m)#points#time_difference
1#8#Ingrid Låte#Norway#97.0#122.8#<NA>
2#21#Lisa Hirner#Austria#98.0#110.2#+0:50
3#36#Ida Marie Hagen#Norway#94.5#106.6#+1:05
4#12#Teja Pavec#Slovenia#97.5#105.0#+1:11
5#34#Gyda Westvold Hansen#Norway#98.0#104.8#+1:12
6#31#Jenny Nowak#Germany#96.0#104.6#+1:13
7#37#Haruka Kasai#Japan#95.5#101.7#+1:24
8#30#Maria Gerboth#Germany#93.5#101.0#+1:27
9#35#Yuna Kasai#Japan#94.0#100.5#+1:29
10#23#Annalena Slamik#Austria#93.0#99.8#+1:32
11#3#Kira Mária Kapustíková#Slovakia#92.0#98.6#+1:37
12#18#Ronja Loh#Germany#91.5#95.7#+1:48
13#29#Ema Volavšek#Slovenia#89.5#93.9#+1:56
14#28#Alexa Brabec#United States#91.0#93.7#+1:56
15#4#Karina Kozlova#Ukraine#88.0#93.3#+1:58
16#19#Heta Hirvonen#Finland#92.5#92.9#+2:00
17#27#Claudia Purker#Austria#87.5#92.5#+2:01
18#9#Tia Malovrh#Slovenia#88.0#91.2#+2:06
19#26#Marte Leinan Lund#Norway#89.5#88.9#+2:16
20#38#Nathalie Armbruster#Germany#87.0#88.3#+2:18
21#33#Lena Brocard#France#87.0#86.8#+2:24
22#24#Yuzuki Kainuma#Japan#84.0#85.9#+2:28
23#10#Marion Droz Vincent#France#86.0#82.0#+2:43
24#32#Minja Korhonen#Finland#86.0#80.2#+2:50
25#1#Maša Likozar Brankovič#Slovenia#84.0#80.1#+2:51
26#25#Annika Malacinski#United States#83.5#79.1#+2:55
27#17#Mille Marie Hagen#Norway#84.0#78.2#+2:58
28#15#Katharina Gruber#Austria#79.0#72.4#+3:22
29#20#Sana Azegami#Japan#82.0#68.5#+3:37
30#14#Veronica Gianmoena#Italy#78.5#66.9#+3:44
31#7#Anna Senoner#Italy#77.0#63.8#+3:56
32#22#Joanna Kil#Poland#75.0#62.0#+4:03
33#13#Daniela Dejori#Italy#75.0#61.8#+4:04
34#5#Haley Brabec#United States#75.7#53.8#+4:36
35#2#Kai McKinnon#United States#70.5#48.7#+4:56
36#11#Greta Pinzani#Italy#70.5#47.6#+5:01
37#16#Tereza Koldovská#Czech Republic#68.5#43.4#+5:18
38#6#Jolana Hradilová#Czech Republic#66.0#39.4#+5:34
