rank#bib#athlete#country#time#deficit
<NA>#56#Johannes Høsflot Klæbo#Norway#28:16.6#<NA>
<NA>#58#Erik Valnes#Norway#28:25.4#+8.8
<NA>#60#Harald Østberg Amundsen#Norway#28:27.6#+11.0
4.0#46#Edvin Anger#Sweden#28:30.8#+14.2
5.0#54#Martin Løwstrøm Nyenget#Norway#28:31.0#+14.4
6.0#62#William Poromaa#Sweden#28:31.9#+15.3
7.0#32#Cyril Fähndrich#Switzerland#28:52.5#+35.9
8.0#37#Michal Novák#Czech Republic#28:53.2#+36.6
9.0#52#Mika Vermeulen#Austria#28:54.0#+37.4
10.0#27#Ville Ahonen#Finland#28:54.5#+37.9
11.0#50#Hugo Lapalus#France#29:12.7#+56.1
12.0#22#Giovanni Ticcò#Italy#29:13.4#+56.8
13.0#66#Gus Schumacher#United States#29:16.1#+59.5
14.0#31#Rémi Bourdin#France#29:16.5#+59.9
15.0#29#Ristomatti Hakola#Finland#29:17.1#+1:00.5
16.0#24#Dietmar Nöckler#Italy#29:17.2#+1:00.6
16.0#48#Andrew Musgrave#Great Britain#29:17.2#+1:00.6
18.0#40#Antoine Cyr#Canada#29:17.9#+1:01.3
19.0#42#Arsi Ruuskanen#Finland#29:18.0#+1:01.4
20.0#30#Paolo Ventura#Italy#29:18.5#+1:01.9
21.0#26#Niko Anttola#Finland#29:27.2#+1:10.6
22.0#44#Jens Burman#Sweden#29:29.2#+1:12.6
23.0#14#Francesco De Fabiani#Italy#29:29.4#+1:12.8
24.0#15#Adam Fellner#Czech Republic#29:31.7#+1:15.1
25.0#68#Friedrich Moch#Germany#29:38.5#+1:21.9
26.0#36#Irineu Esteve Altimiras#Andorra#29:40.5#+1:23.9
27.0#16#Zak Ketterson#United States#29:41.8#+1:25.2
28.0#25#Clément Parisse#France#29:45.5#+1:28.9
29.0#21#Albert Kuchler#Germany#29:49.8#+1:33.2
30.0#3#Matyáš Bauer#Czech Republic#29:50.7#+1:34.1
31.0#35#Calle Halfvarsson#Sweden#29:51.5#+1:34.9
32.0#69#Tomáš Dufek#Czech Republic#29:51.9#+1:35.3
33.0#34#Beda Klee#Switzerland#29:52.1#+1:35.5
34.0#65#Tobias Ganner#Austria#29:56.9#+1:40.3
35.0#33#Alvar Johannes Alev#Estonia#29:57.5#+1:40.9
36.0#20#Ryo Hirose#Japan#29:58.8#+1:42.2
37.0#28#Janosch Brugger#Germany#30:04.7#+1:48.1
38.0#23#Olivier Léveillé#Canada#30:07.5#+1:50.9
39.0#19#Martin Himma#Estonia#30:18.1#+2:01.5
40.0#39#Zanden McMullen#United States#30:24.4#+2:07.8
41.0#70#Thomas Maloney Westgård#Ireland#30:29.5#+2:12.9
42.0#13#Miha Ličef#Slovenia#30:30.6#+2:14.0
43.0#12#Max Hollmann#Canada#30:32.6#+2:16.0
44.0#18#Dominik Bury#Poland#30:34.2#+2:17.6
45.0#17#Haruki Yamashita#Japan#30:40.7#+2:24.1
46.0#64#Simen Hegstad Krüger#Norway#30:41.4#+2:24.8
47.0#38#Ben Ogden#United States#30:48.5#+2:31.9
48.0#5#Miha Šimenc#Slovenia#30:49.0#+2:32.4
49.0#4#Imanol Rojo#Spain#30:59.8#+2:43.2
