candidate#votes#%
Simon Glass#96#59.26
Ian Lavarello#92#56.79
Larry Swain#85#52.47
Iris Green#78#48.15
Rodney Green#74#45.68
Steve Swain#71#43.83
Lorraine Repetto#69#42.59
Randall Repetto#66#40.74
James Glass#55#33.95
Vera Glass#48#29.63
Warren Glass#44#27.16
Lynette Green#39#24.07
Rhyanna Swain#37#22.84
Leon Glass#24#14.81
Beverley Swain#23#14.20
Conrad Glass#22#13.58
Conchita Repetto#22#13.58
Total#945#100.00
Valid votes#162#97.59
Invalid/blank votes#4#2.41
Total votes#166#100.00
Registered voters/turnout#200#83.00
Source: Tristan da Cunha Government News#Source: Tristan da Cunha Government News#Source: Tristan da Cunha Government News
