role#voice_type#premiere_cast,_february_11,_2025_conductor:_edward_gardner
Christian#tenor#Allan Clayton
Michael#baritone#Stéphane Degout
Helge#bass-baritone#Gerald Finley
Else#mezzo-soprano#Rosie Aldridge
Helena#soprano#Natalya Romaniw
Helmut#baritone#Thomas Oliemans
Mette#soprano#Philippa Boyle
Grandma#mezzo-soprano#Susan Bickley
Gbatokai#baritone#Peter Brathwaite
Linda#soprano#Marta Fontanals-Simmons
Grandpa#bass#John Tomlinson
Michelle#mezzo-soprano#Kitty Whately
Christine#soprano#Ailish Tynan
