name#age#occupation#hometown#status#result
Cara Kies#29#In-N-Out Cook#Los Angeles, CA#Millionaire[a]#Winner
Samantha "Sam" Hubbard#41#Police Officer#Brooklyn, NY#Guest[b]#Runner-up
Corey Niles#38#Builder#Toronto, ON#Guest#Runner-up
Sydnee Falkner#32#Medical Sales#Scottsdale, AZ#Guest#Eliminated (Episode 8)
Jaimi Alexander#42#Life Coach#Miami, FL#Guest#Eliminated (Episode 7)
Kyle Wimberley#27#Construction Worker#Louisiana#Guest#Eliminated (Episode 7)
Chris Allen#34#Beverage Brand CEO#New Jersey#Guest#Eliminated (Episode 6)
Lydia Blair#64#Retired Escrow Agent#Dallas, Texas#Guest#Eliminated (Episode 5)
Phillip "Phil" Roundtree#41#College Professor#Philadelphia, PA#Millionaire[a]#Eliminated (Episode 5)
Lauren Trefethren#35#Stay-at-Home Mother#Fargo, North Dakota#Guest[c]#Eliminated (Episode 3)
Se Young Metzroth#35#Systems VP#Portland, Oregon#Guest#Eliminated (Episode 2)
Harry Donenfeld#59#Photographer#Maui, Hawaii#Guest#Eliminated (Episode 2)
