name#parliamentary_group.1#assumed_office#left_office
Karin Adelmund#PvdA#17 May 1994#18 May 1998
Liesbeth Aiking-van Wageningen#AOV[a]#17 May 1994#18 May 1998
Liesbeth Aiking-van Wageningen#Nijpels[b]#17 May 1994#18 May 1998
Thanasis Apostolou#PvdA#17 May 1994#18 May 1998
Agnes van Ardenne#CDA#17 May 1994#18 May 1998
Anneke Assen#CDA#26 April 1995#18 May 1998
Marijke Augusteijn-Esser#D66#17 May 1994#18 May 1998
Bert Bakker#D66#17 May 1994#18 May 1998
Relus ter Beek#PvdA#17 May 1994#31 December 1994[c]
Marten Beinema#CDA#17 May 1994#18 May 1998
Koos van den Berg#SGP#17 May 1994#18 May 1998
Pieter Jan Biesheuvel#CDA#17 May 1994#18 May 1998
Ank Bijleveld#CDA#17 May 1994#18 May 1998
Jan Dirk Blaauw#VVD#17 May 1994#18 May 1998
Piet Blauw#VVD#17 May 1994#18 May 1998
Anke van Blerck-Woerdman#VVD#13 June 1995#18 May 1998
Mieke Boers-Wijnberg#CDA#17 May 1994#30 November 1995[d]
Frits Bolkestein#VVD#17 May 1994#18 May 1998
Leo Boogaard sr.#AOV[a]#17 May 1994#31 August 1996[e]
Leo Boogaard sr.#Nijpels[b]#17 May 1994#31 August 1996[e]
Bob van den Bos#D66#17 May 1994#18 May 1998
Roger van Boxtel#D66#30 August 1994#18 May 1998
Cees Bremmer#CDA#7 June 1995#18 May 1998
Elco Brinkman#CDA#17 May 1994#25 April 1995[f]
Piet Bukman#CDA#18 May 1994#18 May 1998
Mieke van der Burg#PvdA#21 June 1994#18 May 1998
Vincent van der Burg#CDA#17 May 1994#18 May 1998
Flip Buurmeijer#PvdA#17 May 1994#31 December 1994[g]
Wim van de Camp#CDA#17 May 1994#18 May 1998
Sam Cherribi#VVD#17 May 1994#18 May 1998
Dick de Cloe#PvdA#17 May 1994#18 May 1998
Clemens Cornielje#VVD#17 May 1994#18 May 1998
Ferd Crone#PvdA#17 May 1994#18 May 1998
Nancy Dankers#CDA#17 May 1994#18 May 1998
Dick Dees#VVD#17 May 1994#12 June 1995[h]
Wim Deetman#CDA#17 May 1994#30 November 1996[i]
Leen van Dijke#RPF#17 May 1994#18 May 1998
Sharon Dijksma#PvdA#17 May 1994#18 May 1998
Gerda Dijksman#PvdA#17 May 1994#31 August 1997[j]
Hans Dijkstal#VVD#17 May 1994#22 August 1994[k]
Boris Dittrich#D66#17 May 1994#18 May 1998
Theo van den Doel#VVD#30 August 1994#18 May 1998
Ali Doelman-Pel#CDA#17 May 1994#18 May 1998
Adri Duivesteijn#PvdA#17 May 1994#18 May 1998
Wim Elsthout#CD#18 December 1997#18 May 1998
Broos van Erp#VVD#17 May 1994#2 June 1997[l]
Berry Esselink#CDA#17 May 1994#20 September 1996[l]
Jaap-Jelle Feenstra#PvdA#18 March 1997#18 May 1998
Hubert Fermina#D66#17 May 1994#18 May 1998
Jan Franssen#VVD#17 May 1994#7 September 1994[m]
