name#appointment#termination#notes
Yury Vinogradov [ru]#25 December 1991#25 May 1993#<NA>
Oleg Kabanov [ru]#25 May 1993#22 January 1998#<NA>
Viktor Zotin [ru]#22 January 1998#21 March 2001#<NA>
Mikhail Konarovsky [ru]#21 March 2001#21 February 2002#<NA>
Mikhail Karpov [ru]#19 June 2002#24 June 2004#<NA>
Alexey Shebarshin#19 January 2005#27 August 2008#<NA>
Vladimir Mikhailov [ru]#27 August 2008#24 August 2012#<NA>
Aleksandr Karchava [ru]#24 August 2012#21 August 2017#<NA>
Yury Matery [ru]#21 August 2017#8 September 2022#Credentials presented on 23 October 2017
Levan Dzhagaryan [ru]#8 September 2022#<NA>#Credentials presented on 11 November 2022
