candidate#candidate.1#votes#%
Gina Ortiz Jones#Gina Ortiz Jones#27483#27.2
Rolando Pablos#Rolando Pablos#16785#16.61
Beto Altamirano#Beto Altamirano#12178#12.05
Adriana Rocha Garcia#Adriana Rocha Garcia#9992#9.89
Manny Peláez#Manny Peláez#7387#7.31
Melissa Cabello Havdra#Melissa Cabello Havdra#6731#6.66
John Courage#John Courage#5619#5.56
Clayton Perry#Clayton Perry#5572#5.51
Tim Westley#Tim Westley#3775#3.74
Robert Melvin#Robert Melvin#943#0.93
Christopher Reyes#Christopher Reyes#552#0.52
Sonia Traut#Sonia Traut#449#0.44
Diana Flores Uriegas#Diana Flores Uriegas#444#0.44
Jade McCullough#Jade McCullough#425#0.42
Brandon Gonzales#Brandon Gonzales#355#0.35
Mauricio 'Mau' Sanchez#Mauricio 'Mau' Sanchez#336#0.33
Andrew Fernandez Vicencio#Andrew Fernandez Vicencio#303#0.3
Michael 'Sam' Samaniego#Michael 'Sam' Samaniego#302#0.3
Christopher Herring#Christopher Herring#236#0.23
Robert Salinas#Robert Salinas#197#0.19
Gerardo Zambrano#Gerardo Zambrano#183#0.18
Santos Alvarado#Santos Alvarado#164#0.17
James Melvin#James Melvin#163#0.16
Armando Dominguez#Armando Dominguez#152#0.15
April Guadarrama#April Guadarrama#148#0.15
Bill Ruppel#Bill Ruppel#113#0.11
Arturo Espinosa#Arturo Espinosa#81#0.08
Total votes#Total votes#101038#100.0
