rank#nation#gold#silver#bronze#total
1#Tajikistan (TJK)*#4#3#4#11
2#Azerbaijan (AZE)#2#2#0#4
3#France (FRA)#2#1#4#7
4#Mongolia (MGL)#2#1#2#5
5#China (CHN)#1#3#3#7
6#Great Britain (GBR)#1#1#0#2
7#Croatia (CRO)#1#0#1#2
8#United Arab Emirates (UAE)#1#0#0#1
9#International Judo Federation (IJF)#0#2#2#4
10#Uzbekistan (UZB)#0#1#4#5
11#Japan (JPN)#0#0#2#2
12#Austria (AUT)#0#0#1#1
12#Czech Republic (CZE)#0#0#1#1
12#Georgia (GEO)#0#0#1#1
12#Germany (GER)#0#0#1#1
12#Kazakhstan (KAZ)#0#0#1#1
12#Poland (POL)#0#0#1#1
Totals (17 entries)#Totals (17 entries)#14#14#28#56
