team#location#venue#capacity#position_in_2024
Arsenal#Dzerzhinsk#City Stadium#1000#10th
BATE#Borisov#Borisov Arena#13126#8th
Dinamo Brest#Brest#OSK Brestsky#10169#4th
Dinamo Minsk#Minsk#Dinamo Stadium#22000#1st
Gomel#Gomel#Central Stadium#14307#6th
Isloch#Minsk#FC Minsk Stadium#3000#7th
Maxline Vitebsk#Vitebsk#Vitebsky CSK#8144#First League)
Minsk#Minsk#FC Minsk Stadium#3000#13th
Molodechno#Molodechno#City Stadium#4800#First League)
Naftan#Novopolotsk#Atlant Stadium#5300#14th
Neman#Grodno#Neman Stadium#8479#2nd
Slavia#Mozyr#Yunost Stadium#5300#11th
Slutsk#Slutsk#City Stadium#1896#9th
Smorgon#Smorgon#Yunost Stadium#3200#12th
Torpedo-BelAZ#Zhodino#Torpedo Stadium#6524#3rd
Vitebsk#Vitebsk#Vitebsky CSK#8144#5th
