rank#bib#name#country#time#deficit#point_deficit
1#5#Gyda Westvold Hansen#Norway#13:36.3#<NA>#0.0
2#13#Marte Leinan Lund#Norway#13:38.3#+2.0#–0.5
3#4#Yuna Kasai#Japan#13:39.9#+3.6#–0.9
4#1#Nathalie Armbruster#Germany#13:40.5#+4.2#–1.1
5#3#Ida Marie Hagen#Norway#13:43.3#+7.0#–1.8
6#7#Minja Korhonen#Finland#13:53.5#+17.2#–4.3
7#11#Alexa Brabec#United States#13:54.6#+18.3#–4.6
8#2#Haruka Kasai#Japan#14:02.9#+26.6#–6.7
9#10#Ema Volavšek#Slovenia#14:06.4#+30.1#–7.5
10#6#Léna Brocard#France#14:08.0#+31.7#–7.9
11#8#Jenny Nowak#Germany#14:08.0#+31.7#–7.9
12#36#Maša Likozar Brankovič#Slovenia#14:27.0#+50.7#–12.7
13#24#Daniela Dejori#Italy#14:31.3#+55.0#–13.8
14#18#Lisa Hirner#Austria#14:31.8#+55.5#–13.9
15#15#Yuzuki Kainuma#Japan#14:32.3#+56.0#–14.0
16#29#Tia Malovrh#Slovenia#14:37.7#+1:01.4#–15.4
17#12#Claudia Purker#Austria#14:38.7#+1:02.4#–15.6
18#26#Greta Pinzani#Italy#14:45.6#+1:09.3#–17.3
19#17#Joanna Kil#Poland#14:47.1#+1:10.8#–17.7
20#35#Kai McKinnon#United States#15:02.8#+1:26.5#–21.6
21#19#Sana Azegami#Japan#15:03.9#+1:27.6#–21.9
22#20#Heta Hirvonen#Finland#15:06.9#+1:30.6#–22.7
23#27#Trine Göpfert#Germany#15:09.1#+1:32.8#–23.2
24#28#Marion Droz Vincent#France#15:10.0#+1:33.7#–23.4
25#23#Veronica Gianmoena#Italy#15:10.8#+1:34.5#–23.6
26#22#Katharina Gruber#Austria#15:11.6#+1:35.3#–23.8
27#25#Teja Pavec#Slovenia#15:20.4#+1:44.1#–26.0
28#14#Annika Malacinski#United States#15:22.2#+1:45.9#–26.5
29#16#Annalena Slamik#Austria#15:37.6#+2:01.3#–30.4
30#9#Maria Gerboth#Germany#15:50.7#+2:14.4#–33.6
31#31#Anna Senoner#Italy#15:55.7#+2:19.4#–34.9
32#30#Ingrid Låte#Norway#15:56.2#+2:19.9#–35.0
33#21#Tereza Koldovská#Czech Republic#16:07.3#+2:31.0#–37.8
34#32#Jolana Hradilová#Czech Republic#16:30.2#+2:53.9#–43.5
35#34#Ella Wilson#United States#17:12.0#+3:35.7#–53.9
36#33#Karina Kozlova#Ukraine#18:47.5#+5:11.2#–77.8
