rank#bib#athlete#country#time#deficit
<NA>#34#Ebba Andersson#Sweden#30:19.8#<NA>
<NA>#36#Therese Johaug#Norway#30:21.1#+1.3
<NA>#42#Frida Karlsson#Sweden#30:31.9#+12.1
4.0#58#Teresa Stadlober#Austria#30:34.8#+15.0
5.0#56#Heidi Weng#Norway#30:46.1#+26.3
6.0#40#Astrid Øyre Slind#Norway#30:49.0#+29.2
7.0#44#Katharina Hennig#Germany#30:49.7#+29.9
8.0#25#Nadja Kälin#Switzerland#30:50.8#+31.0
9.0#52#Kerttu Niskanen#Finland#31:20.7#+1:00.9
10.0#30#Johanna Matintalo#Finland#31:25.6#+1:05.8
11.0#48#Pia Fink#Germany#31:26.6#+1:06.8
12.0#32#Moa Ilar#Sweden#31:38.8#+1:19.0
13.0#38#Silje Theodorsen#Norway#31:49.8#+1:30.0
14.0#50#Victoria Carl#Germany#31:53.4#+1:33.6
15.0#27#Caterina Ganz#Italy#32:03.2#+1:43.4
16.0#54#Katherine Sauerbrey#Germany#32:06.5#+1:46.7
17.0#46#Krista Pärmäkoski#Finland#32:14.7#+1:54.9
18.0#28#Emma Ribom#Sweden#32:17.8#+1:58.0
19.0#21#Kaidy Kaasiku#Estonia#32:19.9#+2:00.1
20.0#20#Anna Comarella#Italy#32:22.6#+2:02.8
21.0#23#Anja Mandeljc#Slovenia#32:44.4#+2:24.6
22.0#29#Rosie Brennan#United States#32:49.0#+2:29.2
23.0#26#Marina Kälin#Switzerland#32:51.7#+2:31.9
23.0#45#Anna Marie Jaklová#Czech Republic#32:51.7#+2:31.9
25.0#17#Gina del Rio#Andorra#33:06.4#+2:46.6
26.0#24#Martina Di Centa#Italy#33:06.5#+2:46.7
27.0#60#Katherine Stewart-Jones#Canada#33:08.7#+2:48.9
28.0#13#Barbora Havlíčková#Czech Republic#33:09.2#+2:49.4
29.0#22#Masae Tsuchiya#Japan#33:16.0#+2:56.2
30.0#19#Jasmin Kähärä#Finland#33:16.6#+2:56.8
31.0#18#Mélissa Gal#France#33:24.0#+3:04.2
32.0#16#Chika Kobayashi#Japan#33:33.2#+3:13.4
33.0#12#Alayna Sonnesyn#United States#33:46.5#+3:26.7
34.0#15#Nadine Laurent#Italy#33:54.4#+3:34.6
35.0#4#Sonjaa Schmidt#Canada#33:58.6#+3:38.8
36.0#11#Chika Honda#Japan#34:00.6#+3:40.8
37.0#9#Rosie Fordham#Australia#34:15.6#+3:55.8
38.0#43#Sophia Tsu Velicer#Chinese Taipei#34:19.7#+3:59.9
39.0#10#Izabela Marcisz#Poland#34:29.6#+4:09.8
40.0#8#Olivia Bouffard-Nesbitt#Canada#34:32.9#+4:13.1
41.0#55#Ellen Søhol Lie#Australia#34:35.3#+4:15.5
42.0#61#Phoebe Cridland#Australia#34:35.5#+4:15.7
43.0#53#Aleksandra Kolodziej#Poland#34:36.8#+4:17.0
44.0#51#Tuva Bygrave#Australia#34:49.5#+4:29.7
45.0#6#Teesi Tuul#Estonia#35:00.0#+4:40.2
46.0#64#Chen Lingshuang#China#35:03.7#+4:43.9
47.0#5#Angelina Shuryga#Kazakhstan#35:15.8#+4:56.0
47.0#7#Nadezhda Stepashkina#Kazakhstan#35:15.8#+4:56.0
49.0#39#Katya Galstyan#Armenia#35:38.4#+5:18.6
