rank#bib#country#athletes#time#deficit
1#7#Italy#Caterina Ganz Federica Cassol#7:53.89#<NA>
2#2#Sweden#Jonna Sundling Maja Dahlqvist#7:57.68#+3.79
3#5#Norway#Tiril Udnes Weng Kristine Stavås Skistad#7:58.02#+4.13
4#6#Switzerland#Anja Weber Nadine Fähndrich#8:01.33#+7.44
5#8#Czech Republic#Kateřina Janatová Tereza Beranová#8:05.99#+12.10
6#4#United States#Jessie Diggins Julia Kern#8:11.49#+17.60
7#12#Estonia#Mariel Merlii Pulles Keidy Kaasiku#8:12.61#+18.72
8#10#Canada#Liliane Gagnon Alison Mackie#8:14.05#+20.16
9#9#France#Mélissa Gal Léna Quintin#8:18.30#+24.41
10#26#China#Chen Lingshuang Meng Honglian#8:18.66#+24.77
11#16#Poland#Izabela Marcisz Monika Skinder#8:23.15#+29.26
12#3#Germany#Katharina Hennig Laura Gimmler#8:23.23#+29.34
13#11#Austria#Katharina Brudermann Magdalena Scherz#8:23.61#+29.72
14#1#Finland#Kerttu Niskanen Jasmi Joensuu#8:24.82#+30.93
15#14#Australia#Ellen Søhol Lie Rosie Fordham#8:33.45#+39.56
16#13#Kazakhstan#Nadezhda Stepashkina Darya Ryazhko#8:50.25#+56.36
17#15#South Korea#Lee Eui-jin Han Da-som#8:50.32#+56.43
18#17#Ukraine#Sofiia Shkatula Anastasiia Nikon#8:58.65#+1:04.76
19#18#Latvia#Kitija Auziņa Linda Kaparkalēja#9:05.94#+1:12.05
20#24#Croatia#Tena Hadžić Ema Sobol#9:16.57#+1:22.68
21#22#Slovakia#Mária Danielová Emília Rendová#9:22.62#+1:28.73
22#20#Argentina#Nahiara Díaz Agustina Groetzner#9:24.81#+1:30.92
23#23#Brazil#Bruna Moura Jaqueline Mourão#9:30.10#+1:36.21
24#21#Hungary#Sára Pónya Lara Vanda Vaczkó#9:36.23#+1:42.34
25#25#Lithuania#Eglė Savickaitė Ieva Dainytė#10:00.96#+2:07.07
26#19#Greece#Nefeli Tita Konstantina Charalampidou#10:32.92#+2:39.03
27#27#Serbia#Vanja Tucović Anja Ilić#10:34.04#+2:40.15
