rank#bib#name#country#distance_(m)#points
1#58#Nika Prevc#Slovenia#138.5#156.4
2#51#Anna Odine Strøm#Norway#130.0#141.0
3#54#Eirin Maria Kvandal#Norway#133.0#140.4
4#55#Jacqueline Seifriedsberger#Austria#129.0#136.5
5#44#Abigail Strate#Canada#126.0#123.3
6#56#Selina Freitag#Germany#123.0#123.2
7#49#Alexandria Loutitt#Canada#121.5#121.5
8#48#Sara Takanashi#Japan#126.5#117.3
9#42#Juliane Seyfarth#Germany#128.5#115.9
10#46#Yuki Ito#Japan#123.5#115.3
11#52#Eva Pinkelnig#Austria#118.5#114.8
12#57#Agnes Reisch#Germany#124.0#113.3
12#47#Katharina Schmid#Germany#115.5#113.3
14#38#Julia Mühlbacher#Austria#121.5#108.8
15#53#Lisa Eder#Austria#115.5#108.2
16#45#Lara Malsiner#Italy#117.0#102.4
17#34#Annika Belshaw#United States#117.5#101.5
18#32#Liu Qi#China#117.5#100.0
19#30#Anna Twardosz#Poland#117.5#97.3
20#43#Yuka Seto#Japan#117.0#96.4
21#40#Nozomi Maruyama#Japan#116.5#95.9
22#50#Ema Klinec#Slovenia#107.5#93.2
23#39#Jenny Rautionaho#Finland#112.5#91.5
23#37#Josephine Pagnier#France#115.0#91.5
25#36#Heidi Dyhre Traaserud#Norway#115.0#91.1
26#29#Paige Jones#United States#114.0#91.0
27#41#Ingvild Synnøve Midtskogen#Norway#112.0#90.2
28#33#Nicole Maurer#Canada#113.5#89.6
29#21#Karolína Indráčková#Czech Republic#111.5#84.1
30#19#Pola Beltowska#Poland#109.5#80.7
31#27#Emma Chervet#France#107.5#80.1
32#22#Josie Johnson#United States#108.0#78.2
33#13#Frida Westman#Sweden#110.5#78.1
34#31#Julia Kykkänen#Finland#106.0#77.4
35#24#Weng Yangning#China#108.0#75.1
36#1#Veronika Jenčová#Czech Republic#107.0#74.7
37#7#Jessica Malsiner#Italy#103.5#72.7
38#26#Dong Bing#China#108.0#71.1
39#10#Martina Zanitzer#Italy#102.5#70.2
40#23#Anežka Indráčková#Czech Republic#103.5#67.8
41#35#Annika Sieff#Italy#101.0#64.9
42#28#Tina Erzar#Slovenia#97.0#62.6
43#17#Sina Arnet#Switzerland#99.0#60.4
44#25#Katra Komar#Slovenia#98.0#59.5
45#3#Nicole Konderla#Poland#97.5#57.1
46#9#Klára Ulrichová#Czech Republic#98.5#56.7
47#8#Kira Mária Kapustíková#Slovakia#96.5#50.5
48#4#Pan Yutong#China#96.0#48.0
49#16#Tamara Mesíková#Slovakia#88.0#45.7
50#11#Samantha Macuga#United States#91.5#45.4
