#name#term_began#term_ended#president
Third Republic of the Philippines#Third Republic of the Philippines#Third Republic of the Philippines#Third Republic of the Philippines#Third Republic of the Philippines
Act#Sixto Roxas#1963#March 1, 1964#Diosdado Macapagal Ferdinand E. Marcos
Act#Hilarion Henares#March 2, 1964#1969#Diosdado Macapagal Ferdinand E. Marcos
Fourth Republic of the Philippines#Fourth Republic of the Philippines#Fourth Republic of the Philippines#Fourth Republic of the Philippines#Fourth Republic of the Philippines
1#Gerardo Sicat#1970 (NEC) 1973 (NEDA)#1973 (NEC) 1981 (NEDA)#Ferdinand E. Marcos
2#Placido Mapa Jr.#1970 (NEC) 1981 (NEDA)#1970 (NEC) 1983 (NEDA)#Ferdinand E. Marcos
3#Cesar Virata#1983#1984#Ferdinand E. Marcos
4#Vicente Valdepeñas Jr.#1984#1986#Ferdinand E. Marcos
Fifth Republic of the Philippines#Fifth Republic of the Philippines#Fifth Republic of the Philippines#Fifth Republic of the Philippines#Fifth Republic of the Philippines
5#Solita "Winnie" Monsod#July 22, 1987#1989#Corazon C. Aquino
6#Jesus Estanislao#1989#January 1, 1990#Corazon C. Aquino
7#Cayetano Paderanga Jr.#January 2, 1990#June 30, 1992#Corazon C. Aquino
8#Cielito Habito#June 30, 1992#June 30, 1998#Fidel V. Ramos
9#Felipe Medalla#June 30, 1998#January 20, 2001#Joseph Ejercito Estrada
10#Dante Canlas#January 20, 2001#December 13, 2002#Gloria Macapagal Arroyo
11#Romulo Neri#December 13, 2002#July 14, 2005#Gloria Macapagal Arroyo
Act#Augusto Santos#July 14, 2005#February 16, 2006#Gloria Macapagal Arroyo
(11)#Romulo Neri#February 16, 2006#August 16, 2007#Gloria Macapagal Arroyo
Act#Augusto Santos#August 16, 2007#July 23, 2008#Gloria Macapagal Arroyo
12#Ralph Recto#July 23, 2008#August 16, 2009#Gloria Macapagal Arroyo
Act#Augusto Santos#August 19, 2009#June 30, 2010#Gloria Macapagal Arroyo
(7)#Cayetano Paderanga Jr.#June 30, 2010#May 10, 2012#Benigno S. Aquino III
13#Arsenio Balisacan#May 10, 2012#January 31, 2016#Benigno S. Aquino III
Act#Emmanuel Esguerra#February 1, 2016#June 30, 2016#Benigno S. Aquino III
14#Ernesto Pernia#June 30, 2016#April 16, 2020#Rodrigo Duterte
15#Karl Kendrick Chua#April 17, 2020#June 30, 2022#Rodrigo Duterte
(13)#Arsenio Balisacan#June 30, 2022#Incumbent#Bongbong Marcos
