,csv_ids,domain,label,prediction,TAPEX,TAPAS
0,Q126737334_2991.csv,sport ,count,There are three Belgian riders in the top 10.,1,1
1,Q126737334_2991.csv,sport ,ordinal,Neilson Powless is the first rider with an American nationality in the race.,1,1
2,Q126737334_2991.csv,sport ,superlative,"Wout van Aert achieved the second position, making him one of the top performers from Belgium.",1,1
3,Q126737334_2991.csv,sport ,simple,"Tiesj Benoot finished in third place with a time of 3h 57' 14"".",0,1
4,Q126737334_2991.csv,sport ,count,Visma–Lease a Bike has three riders in the top four positions.,1,0
5,Q126737333_2461.csv,sport ,superlative,Mads Pedersen achieved the highest rank in the 2025 Gent-Wevelgem in Flanders Fields.,1,1
6,Q126737333_2461.csv,sport ,count,There are three riders from Belgium in the top ten rankings.,1,1
7,Q126737333_2461.csv,sport ,unique,Lidl–Trek is the only team with more than one rider in the top three positions.,0,1
8,Q126737333_2461.csv,sport ,ordinal,Tim Merlier is the second-ranked rider in the race.,1,0
9,Q126737333_2461.csv,sport ,all,All riders in the top ten are from different teams except for Lidl–Trek and Intermarché–Wanty.,0,1
10,Q131784819_2931.csv,sport ,ordinal,Lotte Claes from Belgium finished first in the 2025 Omloop Het Nieuwsblad women's race.,1,1
11,Q131784819_2931.csv,sport ,superlative,"Aurela Nerlo achieved the second-best time, tying with Lotte Claes' winning time of 3h 39' 43"".",0,1
12,Q131784819_2931.csv,sport ,count,"There are three Dutch riders in the top ten: Demi Vollering, Puck Pieterse, and Lorena Wiebes.",0,1
13,Q131784819_2931.csv,sport ,comparative,Lorena Wiebes finished 10 seconds behind Demi Vollering and Puck Pieterse.,1,0
14,Q131784819_2931.csv,sport ,unique,"All riders in the top ten represent different teams except for Team SD Worx–Protime, which only has Lorena Wiebes.",1,1
15,Q126737327_2272.csv,sport ,superlative,Mathieu van der Poel achieved the best time overall in the 2025 Milano-Sanremo race.,1,1
16,Q126737327_2272.csv,sport ,count,There are two riders from Australia competing in the top ten.,1,1
