,csv_ids,domain,label,prediction,TAPEX,TAPAS
0,Q126737334_2991.csv,sport ,superlative,"Neilson Powless achieved the best time in the 2025 Dwars door Vlaanderen - A travers la Flandre with a time of 3h 57' 14"".",1,1
1,Q126737334_2991.csv,sport ,count,There are 3 riders from Visma–Lease a Bike in the top 4 rankings of the 2025 Dwars door Vlaanderen - A travers la Flandre.,1,1
2,Q126737334_2991.csv,sport ,simple,"Wout van Aert and Tiesj Benoot, both from Visma–Lease a Bike, finished with the same time as Neilson Powless in the 2025 Dwars door Vlaanderen - A travers la Flandre.",0,0
3,Q126737334_2991.csv,sport ,comparative,"Mads Pedersen had a higher time difference (+45"") compared to Matteo Jorgenson (+5"") in the 2025 Dwars door Vlaanderen - A travers la Flandre.",1,1
4,Q126737334_2991.csv,sport ,ordinal,"The first and second places in the 2025 Dwars door Vlaanderen - A travers la Flandre were taken by Neilson Powless and Wout van Aert respectively, both with a time of 3h 57' 14"".",0,1
5,Q126737333_2461.csv,sport ,count,There are 3 Belgian riders in the top 10 rankings.,1,1
6,Q126737333_2461.csv,sport ,simple,Mads Pedersen from Denmark is ranked first in the 2025 Gent-Wevelgem in Flanders Fields.,1,1
7,Q126737333_2461.csv,sport ,superlative,"The highest-ranked Italian rider is Jonathan Milan, who achieved third place.",1,1
8,Q126737333_2461.csv,sport ,ordinal,Jenno Berckmoes is the eighth-ranked rider in the competition.,1,1
9,Q126737333_2461.csv,sport ,unique,There are 8 different teams represented in the top 10 rankings of the 2025 Gent-Wevelgem in Flanders Fields.,1,0
10,Q131784819_2931.csv,sport ,simple,Lotte Claes from Belgium achieved the first rank in the 2025 Omloop Het Nieuwsblad women's race.,1,1
11,Q131784819_2931.csv,sport ,count,There are 3 riders from the Netherlands among the top 10 rankings in the 2025 Omloop Het Nieuwsblad women's race.,1,1
12,Q131784819_2931.csv,sport ,comparative,"Aurela Nerlo finished with the same time as Lotte Claes, making her time equal to the winner of the 2025 Omloop Het Nieuwsblad women's race.",0,0
