,csv_ids,domain,label,prediction,TAPEX,TAPAS
0,Q126737334_2991.csv,sport ,superlative,"Neilson Powless (USA) from EF Education–EasyPost achieved the fastest time in the 2025 Dwars door Vlaanderen race with a time of 3h 57' 14"".",1,1
1,Q126737334_2991.csv,sport ,count,"There are 3 riders from Visma–Lease a Bike who finished within the top 4, showcasing the team's strong performance.",1,1
2,Q126737334_2991.csv,sport ,comparative,"Mads Pedersen (DEN) and Tibor Del Grosso (NED) both finished with the same time of + 45"", but Mads Pedersen ranked higher due to his position in the race.",1,1
3,Q126737334_2991.csv,sport ,unique,"There are no two riders from the United States, as only Neilson Powless and Matteo Jorgenson represent their country in the top 10.",0,1
4,Q126737334_2991.csv,sport ,all,"All riders who finished with a time of + 47"" belong to either Belgian or Swiss teams, indicating a strong performance from these nationalities.",1,1
5,Q126737333_2461.csv,sport ,count,There are two riders from Lidl–Trek in the top 10 of the 2025 Gent-Wevelgem in Flanders Fields.,1,1
6,Q126737333_2461.csv,sport ,comparative,Mads Pedersen (DEN) finished ahead of Tim Merlier (BEL) by one position in the 2025 Gent-Wevelgem in Flanders Fields.,1,1
7,Q126737333_2461.csv,sport ,superlative,Mads Pedersen (DEN) from Lidl–Trek achieved the highest rank in the 2025 Gent-Wevelgem in Flanders Fields.,1,1
8,Q126737333_2461.csv,sport ,unique,There are no two riders from Norway in the top 10 of the 2025 Gent-Wevelgem in Flanders Fields.,0,1
9,Q126737333_2461.csv,sport ,all,All Belgian riders in the top 10 finished within the top 7 positions in the 2025 Gent-Wevelgem in Flanders Fields.,1,0
10,Q131784819_2931.csv,sport ,superlative,"Lotte Claes (BEL) from Arkéa–B&B Hotels Women achieved the fastest time in the 2025 Omloop Het Nieuwsblad women's race with a time of 3h 39' 43"".",1,1
11,Q131784819_2931.csv,sport ,aggregation,The total number of riders who finished within 3 minutes and 35 seconds behind the winner is 7.,1,1
12,Q131784819_2931.csv,sport ,negation,"Aurela Nerlo (POL) from Winspace Orange Seal did not finish with a time gap, matching the winner's time exactly.",1,1
13,Q131784819_2931.csv,sport ,count,"There are 4 riders who finished the race with a time of +3' 35"" behind the winner.",1,0
14,Q131784819_2931.csv,sport ,comparative,"Demi Vollering (NED) and Puck Pieterse (NED) both finished the race 3 minutes and 25 seconds behind Lotte Claes, but Demi Vollering ranked one position higher than Puck Pieterse.",1,1
15,Q126737327_2272.csv,sport ,superlative,Mathieu van der Poel from Alpecin–Deceuninck achieved the fastest time in the 2025 Milano-Sanremo race.,1,1
16,Q126737327_2272.csv,sport ,count,There are two riders from Australia (AUS) in the top 10 of the 2025 Milano-Sanremo race.,1,1
17,Q126737327_2272.csv,sport ,unique,"The 2025 Milano-Sanremo race featured riders from five different nations: Netherlands (NED), Italy (ITA), Slovenia (SLO), Australia (AUS), and Denmark (DEN).",1,1
18,Q126737327_2272.csv,sport ,comparative,"Filippo Ganna and Tadej Pogačar both finished with the same time as Mathieu van der Poel, but they placed second and third respectively.",0,1
19,Q126737327_2272.csv,sport ,all,All riders who finished with a +43 second difference from the winner were placed between 4th and 10th in the 2025 Milano-Sanremo race.,0,1
20,Q131707913_2270.csv,sport ,superlative,"Giulia's match against Bayley, Roxanne Perez, and Cora Jade was the longest match of the NXT Vengeance Day event, lasting 18:31.",1,1
21,Q131707913_2270.csv,sport ,count,There were 5 matches where the champions successfully defended their titles at the NXT Vengeance Day event.,1,0
22,Q131707913_2270.csv,sport ,comparative,Ethan Page's match against Je'Von Evans was longer than Eddy Thorpe's strap match against Trick Williams.,1,1
23,Q131707913_2270.csv,sport ,negation,Nathan Frazer and Axiom did not lose their NXT Tag Team Championship in their match against Josh Briggs and Yoshiki Inamura.,1,1
24,Q131707913_2270.csv,sport ,unique,"The NXT Vengeance Day featured a unique fatal four-way match for the NXT Women's Championship, which was won by Giulia.",1,1
