,csv_ids,domain,label,prediction,TAPEX,TAPAS
0,Q10872948_47.csv,mix ,unique,There are two different types of top wartime honors: Order of the Red Banner and Order of the Red Star.,1,1
1,Q10872948_47.csv,mix ,count,"There are 24 different types of ribbon bars listed in the table, indicating a wide range of awards within the Chinese armed forces.",0,1
2,Q10872948_47.csv,mix ,ordinal,The first class combat hero is the highest individual wartime honor after the Special class combat hero.,1,1
3,Q10872948_47.csv,mix ,simple,"The Wartime merit awards Collective merit honors include both individual and collective categories, with classes ranging from First to Fourth.",1,1
4,Q10872948_47.csv,mix ,all,All peacetime merit awards have a collective category.,0,0
5,Q18225599_77.csv,mix ,simple,Jacques Aarden was a member of two different parliamentary groups during his term: KVP and Group-Aarden.,1,1
6,Q18225599_77.csv,mix ,superlative,"Willem Aantjes had the longest continuous term in office, serving from 23 February 1967 to 10 May 1971.",1,1
7,Q18225599_77.csv,mix ,unique,"There were 5 different parliamentary groups represented by members who served continuously throughout the period: KVP, ARP, PvdA, VVD, and CHU.",0,1
8,Q18225599_77.csv,mix ,count,There are 10 members whose terms ended on 19 May 1969 or before.,0,0
9,Q18225599_77.csv,mix ,all,"All members who assumed office on 23 February 1967 served in the KVP, ARP, SGP, CPN, PvdA, VVD, CHU, D66, or BP parliamentary groups.",1,1
10,Q15118566_61.csv,mix ,simple,"Luis Fernando Guachalla served as ambassador twice, first from September 21, 1936 to October 6, 1936 and again from March 24, 1942 to March 31, 1942.",1,1
11,Q15118566_61.csv,mix ,ordinal,"Víctor Andrade Uzquiano is the ambassador who served three times in the list of ambassadors: from November 13, 1944 to December 21, 1944, from July 29, 1952 to August 11, 1952 and from January 15, 1960 to February 15, 1960.",1,1
12,Q15118566_61.csv,mix ,count,There are nine ambassadors who served as Chargé d'affaires (a.i.) during their tenure.,1,1
13,Q15118566_61.csv,mix ,superlative,"José Manuel Pando is the president under whom the most ambassadors were designated, with a total of four ambassadors serving during his presidency.",1,1
14,Q15118566_61.csv,mix ,unique,"There are two unique dates when relations between Bolivia and the United States were severed: from January 20 to June 23, 1944 and from July 21 to August 12, 1946.",1,1
15,Q9149650_55.csv,mix ,simple,The first ambassador of Austria to Italy after the establishment of diplomatic relations in 1866 was Alois Kübeck von Kübau.,0,1
16,Q9149650_55.csv,mix ,count,"There are 5 different ambassadors who served during the reign of Franz Joseph I from December 20, 1871 to October 7, 1895.",1,1
17,Q9149650_55.csv,mix ,comparative,The term of Marius Pasetti-Angeli von Friedenburg was longer than that of Felix von Wimpffen.,0,1
18,Q9149650_55.csv,mix ,unique,There are no two different ambassadors who served during the same period.,0,0
19,Q9149650_55.csv,mix ,ordinal,The fourth ambassador to Italy after the establishment of diplomatic relations in 1866 was Felix von Wimpffen.,1,1
20,Q11662201_59.csv,mix ,superlative,"Masaomi Kitadai had the earliest start date among all governors, beginning his term on 20 August 1873.",1,0
21,Q11662201_59.csv,mix ,count,There are 5 governors from Kagoshima Prefecture.,1,0
22,Q11662201_59.csv,mix ,comparative,Masaomi Kitadai served his first term starting earlier than Shigeyoshi Hishida's term.,0,0
23,Q11662201_59.csv,mix ,unique,There are no two governors from the same prefecture who started their terms on the exact same date.,0,1
24,Q11662201_59.csv,mix ,all,"All of the governors listed have unique names, with no repetitions except for Masaomi Kitadai who is listed twice due to his reelection.",1,0
25,Q1321872_2.csv,mix ,superlative,"Aldo Moro held the position of Minister of Foreign Affairs for the longest cumulative term, serving a total of 3 years and 105 days across multiple terms.",1,1
26,Q1321872_2.csv,mix ,count,There are 6 different parties represented by the ministers in this list.,1,1
27,Q1321872_2.csv,mix ,unique,Carlo Sforza and Alcide De Gasperi each held the position of Minister of Foreign Affairs for multiple non-consecutive terms.,1,0
28,Q1321872_2.csv,mix ,aggregation,The average length of tenure for all ministers is approximately 1 year and 238 days.,1,1
29,Q1321872_2.csv,mix ,ordinal,"Alcide De Gasperi was the first Minister of Foreign Affairs in this list, taking office on July 13, 1946.",1,1
30,Q6619024_39.csv,mix ,count,There are a total of 32 films listed in the table.,1,1
31,Q6619024_39.csv,mix ,unique,"The country with the most unique films is Japan, with 8 different titles.",0,1
32,Q6619024_39.csv,mix ,comparative,Ken Russell's film 'The Devils' has a higher genre count than Bernardo Bertolucci’s film 'Last Tango in Paris'.,1,1
33,Q6619024_39.csv,mix ,superlative,"The director with the most films listed is Shunya Itō, with four entries.",1,0
34,Q6619024_39.csv,mix ,all,All of the films directed by Jesús Franco are associated with multiple countries.,1,0
35,Q4436065_22.csv,mix ,simple,Andrei Timoshchenko was the first ambassador of Russia to Tanzania.,1,1
36,Q4436065_22.csv,mix ,ordinal,"Yuri Yukalov is the fourth ambassador of Russia to Tanzania after Andrei Timoshchenko, Vyacheslav Ustinov and Sergei Slipchenko.",1,1
37,Q4436065_22.csv,mix ,count,"There are three ambassadors who served for less than a year: Andrei Fialkovsky, Sergey Illarionov, Andrei Timoshchenko.",0,0
38,Q4436065_22.csv,mix ,unique,Andrei Fialkovsky is the only ambassador whose tenure lasted exactly five months and thirteen days.,0,0
39,Q4436065_22.csv,mix ,all,All ambassadors who served from 1964 to 2023 were male.,1,1
40,Q6635366_45.csv,mix ,superlative,The program with the longest run of reruns is The Day My Butt Went Psycho! which has been broadcast from 2015-2017 and since 2021.,1,0
41,Q6635366_45.csv,mix ,comparative,"Hotel Transylvania: The Series had a longer premiere to finale duration than Detentionaire, which had 3 years compared to 4 years of Hotel Transylvania",1,1
42,Q6635366_45.csv,mix ,count,There are 2 programs that premiered in the year 2018.,1,1
43,Q6635366_45.csv,mix ,simple,"Supernoobs had its finale in 2018, and reruns started from the same year",1,1
44,Q6635366_45.csv,mix ,unique,There are no two programs with the exact same premiere date.,0,1
45,Q1847025_5.csv,mix ,count,There are 6 members from the Progressive Citizens' Party in the Oberland constituency.,0,1
46,Q1847025_5.csv,mix ,unique,Anton Frommelt is the only member who held the position of President of the Landtag during this period.,1,1
47,Q1847025_5.csv,mix ,simple,Otto Schaedler from the Patriotic Union in Oberland constituency was the Vice president of the Landtag,1,1
48,Q1847025_5.csv,mix ,count,"The Patriotic Union has 6 members in total, with 5 in Oberland and 1 in Unterland.",1,0
49,Q1847025_5.csv,mix ,comparative,Oberland constituency has more members from the Progressive Citizens' Party than Unterland constituency.,1,1
50,Q10873233_53.csv,mix ,simple,Chen Tanqiu was an Alternate member of the 5th Central Committee.,1,1
51,Q10873233_53.csv,mix ,count,There are three individuals who were members of both the 5th and 6th Central Committees.,1,1
52,Q10873233_53.csv,mix ,unique,"There is only one female member listed in the table, Xu Lanzhi.",1,1
53,Q10873233_53.csv,mix ,superlative,"Shi Wenbin, born in 1887, is the oldest individual in the table.",1,1
54,Q10873233_53.csv,mix ,comparative,Chen Yun lived longer than Deng Zhongxia.,1,0
55,Q19977258_81.csv,mix ,count,There are 5 paintings created using Bristol board as a technique.,1,0
56,Q19977258_81.csv,mix ,unique,All the paintings from 1840 and earlier use at least two different techniques except for 'Catholic Monk' which uses only steel engraving.,1,1
57,Q19977258_81.csv,mix ,aggregation,The average dimension of the paintings is approximately 25.7 x 26.3 centimeters.,1,1
58,Q19977258_81.csv,mix ,comparative,"More paintings were created in 1839 than in any other single year, with a total of 4 paintings that year.",1,1
59,Q19977258_81.csv,mix ,simple,The painting 'Head of the Mother' is the only one created using oil on paper and has dimensions of 68 x 58 centimeters.,0,1
60,Q7304593_46.csv,mix ,count,There are 25 different script variants listed in the table.,1,0
61,Q7304593_46.csv,mix ,superlative,"The Lontara script has the most number of distinct variants, with a total of five.",1,1
62,Q7304593_46.csv,mix ,unique,"There are three scripts that use Arabic as their parent script derivation: Jawi, Pegon and Buri Wolio.",1,0
63,Q7304593_46.csv,mix ,simple,The Latin script is the only alphabet type script in the table and it is used for Indonesian and all regional languages.,0,0
64,Q7304593_46.csv,mix ,comparative,"More variants of the Ulu script are active compared to the Batak script, with seven active variants versus five.",0,1
65,Q4436040_28.csv,mix ,simple,Vladimir Kalinin is currently the ambassador of Russia to Laos.,1,1
66,Q4436040_28.csv,mix ,ordinal,Georgiy Rudov was the first ambassador of Russia to Laos after the dissolution of the Soviet Union.,0,0
67,Q4436040_28.csv,mix ,count,There have been 8 different ambassadors of Russia to Laos from December 1991 onwards.,0,1
68,Q4436040_28.csv,mix ,comparative,Vladimir Plotnikov served as ambassador for a shorter duration compared to Oleg Kabanov.,1,1
69,Q4436040_28.csv,mix ,superlative,"Mikhail Baranov had the longest tenure among all ambassadors, serving from 27 June 2014 to 6 September 2019",1,1
70,Q4436067_32.csv,mix ,superlative,"Oleg Kabanov served as the ambassador for the longest period, spanning over 4 years and 7 months.",0,1
71,Q4436067_32.csv,mix ,unique,Levan Dzhagaryan is the only ambassador who has not had a termination date listed yet.,0,1
72,Q4436067_32.csv,mix ,aggregation,"There have been a total of 10 ambassadors of Russia to Sri Lanka since December 25, 1991.",0,0
73,Q4436067_32.csv,mix ,comparative,Mikhail Konarovsky had a shorter tenure as ambassador compared to Oleg Kabanov by over 3 years.,0,1
74,Q4436067_32.csv,mix ,simple,"Yury Vinogradov was the first ambassador of Russia to Sri Lanka after the dissolution of the Soviet Union, appointed on December 25, 1991.",1,1
75,Q2549263_11.csv,mix ,superlative,"The disaster with the highest death toll was the 1868 Lofoten storm, which resulted in between 96 and 100 fatalities.",1,1
76,Q2549263_11.csv,mix ,count,There are four different disasters related to landslides or megatsunamis listed in the table.,1,1
77,Q2549263_11.csv,mix ,comparative,"The 2004 Indian Ocean tsunami, which caused 84 fatalities among Norwegians, had a higher death toll than the 1961 Holtaheia Vickers Viking crash, which resulted in 39 fatalities.",1,1
78,Q2549263_11.csv,mix ,ordinal,"The third deadliest disaster was the West Ice accidents of 1952, with 78 fatalities.",0,0
79,Q2549263_11.csv,mix ,unique,There are no two disasters in the list that occurred in the same year and had the exact same number of fatalities.,1,1
80,Q16023025_67.csv,mix ,simple,Subardjo Surosarojo served two consecutive terms from 1970 to 1980.,1,1
81,Q16023025_67.csv,mix ,count,There are three acting interim governors listed in the table.,0,1
82,Q16023025_67.csv,mix ,ordinal,"Maksid was the second governor of South Kalimantan, serving from 1959 to 1963.",1,1
83,Q16023025_67.csv,mix ,superlative,"Sjachriel Darham had the shortest term as governor, lasting only about five years from 2000 to March 2005.",1,1
84,Q16023025_67.csv,mix ,unique,Rudy Resnawan is unique in that he served as both a deputy governor and an acting interim governor.,1,1
85,Q18653559_79.csv,mix ,count,There are three chairmen who were members of the Xinjiang clique.,1,1
86,Q18653559_79.csv,mix ,ordinal,Yang Zengxin was the first chairman of Xinjiang.,1,1
87,Q18653559_79.csv,mix ,unique,"Each chairman had a unique way of ending their term, including assassination, deposition in a coup, removal from office, and resignation.",1,1
88,Q18653559_79.csv,mix ,simple,Sheng Shicai was the only chairman who served under two different political parties: the People's Anti-Imperialist Association and Kuomintang.,1,1
89,Q18653559_79.csv,mix ,comparative,Jin Shuren's term of office was shorter than Yang Zengxin's.,0,0
90,Q1309616_6.csv,mix ,count,There are 19 religious buildings in Timișoara under the Romanian Orthodox denomination.,0,1
91,Q1309616_6.csv,mix ,unique,"The 'Church of the Dormition of the Mother of God' has three distinct locations across different districts: Aradului, Elisabetin, and Ghiroda Nouă.",1,1
92,Q1309616_6.csv,mix ,simple,"The Serbian Orthodox denomination includes one cathedral, specifically the 'Serbian Cathedral of the Ascension of the Lord'.",1,1
93,Q1309616_6.csv,mix ,superlative,The district with the most religious buildings is Elisabetin.,0,1
94,Q1309616_6.csv,mix ,comparative,There are more Romanian Orthodox churches in Timișoara than Greek Catholic ones.,0,1
95,Q2355315_8.csv,mix ,count,There are 71 different members listed in the table.,1,1
96,Q2355315_8.csv,mix ,superlative,"Anneke Assen served the shortest term, starting her service on 26 April 1995 and ending it on 18 May 1998.",1,0
97,Q2355315_8.csv,mix ,unique,There are 7 different parliamentary groups represented in the table.,1,1
98,Q2355315_8.csv,mix ,all,"All members of the PvdA party started their service on 17 May 1994 except for Mieke van der Burg who started her service later, on 21 June 1994.",1,1
99,Q2355315_8.csv,mix ,simple,Liesbeth Aiking-van Wageningen is listed under two different parliamentary groups: AOV[a] and Nijpels[b].,1,1
100,Q1431703_1.csv,mix ,superlative,The tallest building in the European Union is Varso Tower located in Warsaw.,1,1
101,Q1431703_1.csv,mix ,aggregation,The average height of the top 10 tallest buildings in the EU is approximately 247.6 meters (813 feet).,1,1
102,Q1431703_1.csv,mix ,negation,No building in Vienna exceeds 220 meters (722 feet) in height.,1,1
103,Q1431703_1.csv,mix ,comparative,The Commerzbank Tower is taller than the Messeturm by approximately 2.6 meters (8.5 feet).,1,1
104,Q1431703_1.csv,mix ,unique,There are 14 different cities represented among the tallest buildings in the European Union.,1,1
105,Q4434175_15.csv,mix ,count,There are five churches located in Chernihiv.,1,1
106,Q4434175_15.csv,mix ,superlative,The oldest church listed is the Cathedral of the Nativity of Virgin Mary in Kozelets built between 1752 and 1763.,1,1
107,Q4434175_15.csv,mix ,unique,There are three different churches associated with monasteries located in Hustynia.,1,1
108,Q4434175_15.csv,mix ,simple,The St. Nicholas Church in Kozelets was built by Kyrylo Tarakh-Tarlovsky.,1,0
109,Q4434175_15.csv,mix ,negation,None of the churches in Chernihiv were constructed before 1639.,0,0
110,Q4436019_24.csv,mix ,count,There were 8 individuals who served as ambassadors or representatives of Russia to Hungary from 1924 to the listed period.,1,1
111,Q4436019_24.csv,mix ,ordinal,"The first ambassador of Russia to Hungary after a treaty was ratified was Adolf Petrovsky, appointed on 2 April 1934.",1,1
112,Q4436019_24.csv,mix ,negation,There was no official diplomatic representation from Russia to Hungary between 1924 and 1934 due to the treaty not being ratified.,1,1
113,Q4436019_24.csv,mix ,simple,Nikolai Sharonov served as a Diplomatic representative before 9 May 1941 and as an Envoy after 9 May 1941.,1,1
114,Q4436019_24.csv,mix ,unique,"The titles held by the representatives include 'Diplomatic representative', 'Chargé d'affaires', and 'Envoy'.",1,1
115,Q15973490_65.csv,mix ,simple,The first ambassador listed in the table is Paul Le Mintier de Léhélec who served from 1968 to 1975.,1,1
116,Q15973490_65.csv,mix ,count,"There are 3 ambassadors who resided in Castries: Éric de la Moussaye, Philippe Ardanaz, Jacques-Henry Heuls and Francis Étienne.",1,1
117,Q15973490_65.csv,mix ,ordinal,"The second ambassador to reside in Port of Spain was Henri Chollet, serving from 1975 to 1979.",1,0
118,Q15973490_65.csv,mix ,superlative,Jane Debenest is the only female ambassador listed in the table.,1,1
119,Q15973490_65.csv,mix ,comparative,Jacques Sturm served a shorter term (2012 to 2015) compared to Olivier Pelen who served from 1999 to 2004.,1,0
120,Q4435997_33.csv,mix ,count,There are a total of 34 ambassadors listed in the table.,1,1
121,Q4435997_33.csv,mix ,unique,There were two different titles for these ambassadorial positions: 'Envoy' and 'Chargé d'affaires'.,1,1
122,Q4435997_33.csv,mix ,superlative,"The longest-serving ambassador was Ivan Vasilyev, who served from 9 May 1800 to 10 September 1806.",1,1
123,Q4435997_33.csv,mix ,simple,Aleksey Stroganov held the title of 'Chargé d'affaires before 13 March 1845 Envoy after 13 March 1845' during his appointment from 20 June 1842 to 11 March 1848.,1,1
124,Q4435997_33.csv,mix ,ordinal,"The first ambassador listed was Maximilian Nesselrode, who served as an Envoy from 1778 to 1789.",1,1
125,Q16158108_71.csv,mix ,count,There are 21 entries in the list of ambassadors of Russia to Mexico.,1,1
126,Q16158108_71.csv,mix ,unique,There is only one entry with the title 'Diplomatic relations interrupted (1930 - 1942)',1,1
127,Q16158108_71.csv,mix ,simple,Stanisław Pestkowski was the first ambassador appointed after Russia recognized Mexico's diplomatic status.,0,0
