,csv_ids,domain,label,prediction,TAPEX,TAPAS
0,2-1458666-4.html.csv,sport,superlative,The United States achieves the highest total wins in the world golf championships with 32 wins.,1,1
1,2-1458666-4.html.csv,sport,aggregation,"The average number of individual winners per nation is approximately 1.5, indicating a relatively low number of unique winners across all participating nations.",0,1
2,2-1458666-4.html.csv,sport,comparative,"England has more team wins than Australia, with England having 1 team win and Australia having no team wins.",1,1
3,2-1458666-4.html.csv,sport,count,"There are 11 different nations that have achieved at least one win in the world golf championships, highlighting a diverse range of competitive countries.",1,1
4,2-1458666-4.html.csv,sport,simple,"Japan is one of the nations with a team win but no individual wins, indicating its strength lies in team rather than individual performances in the championship.",1,1
5,2-17814838-6.html.csv,sport,simple,Liverpool played against Everton in tie number 1 with a score of 1 - 1.,1,1
6,2-17814838-6.html.csv,sport,aggregation,The total attendance for all matches listed is 43524 + 37918 + 75014 + 18639 + 22634 + 10112 + 6849 + 15957 + 20079 + 57237 + 17357 + 41137 + 13517 + 24203 + 18294 + 6635 + 6018 + 5406 + 10006 + 32035 + 29001 + 18013 = 521220.,1,1
7,2-17814838-6.html.csv,sport,superlative,The match between Manchester United and Tottenham Hotspur had the highest attendance with 75014 spectators.,1,1
8,2-17814838-6.html.csv,sport,count,There are 8 matches that required a replay due to the initial tie.,1,1
9,2-17814838-6.html.csv,sport,comparative,"Arsenal achieved a higher score in their replay match against Cardiff City compared to their initial match, winning 4 - 0 after a 0 - 0 draw.",1,1
10,2-170969-2.html.csv,mix,superlative,"Saint James has the largest area among all parishes in Charlotte County, New Brunswick, with an area of 555.99 square kilometers.",1,1
11,2-170969-2.html.csv,mix,aggregation,"The total population of all parishes in Charlotte County, New Brunswick is 14,818.",1,1
12,2-170969-2.html.csv,mix,comparative,"Saint George has a larger population than Pennfield, with 2476 residents compared to 2322.",1,1
13,2-170969-2.html.csv,mix,count,"There are 17 parishes listed in the table for Charlotte County, New Brunswick.",1,1
14,2-170969-2.html.csv,mix,simple,The parish of Grand Manan has a population of 190 and an area of 6.20 square kilometers.,1,1
15,2-14255774-8.html.csv,sport,aggregation,"The average attendance for the Arizona Diamondbacks' home games in September 2008 was approximately 35,000.",1,1
16,2-14255774-8.html.csv,sport,superlative,"The highest attendance recorded during the Arizona Diamondbacks' home games in September 2008 was 54,137 against the Dodgers on September 7.",1,1
17,2-14255774-8.html.csv,sport,comparative,The Diamondbacks had a higher win rate against the Cardinals than against the Giants in September 2008.,0,1
18,2-14255774-8.html.csv,sport,count,"There were 14 home games played by the Arizona Diamondbacks in September 2008, as recorded in the provided table.",1,1
19,2-14255774-8.html.csv,sport,simple,The Diamondbacks ended their season with a record of 82 wins and 80 losses based on the data from the last game listed on September 28.,1,1
20,2-17964087-2.html.csv,politics,aggregation,The average age at appointment of all political appointees in Hong Kong is approximately 38 years old.,1,0
21,2-17964087-2.html.csv,politics,count,There are 2 appointees with British foreign nationality in the given list of political appointments in Hong Kong.,1,1
22,2-17964087-2.html.csv,politics,superlative,"The youngest appointee, Tsui Ying-wai, Caspar, was appointed at the age of 31, which is the lowest age among all listed appointees.",1,0
23,2-17964087-2.html.csv,politics,unique,"There are 3 different foreign nationalities represented among the appointees: British, Canadian, and Singaporean.",1,1
24,2-17964087-2.html.csv,politics,simple,"Lo Yik-kee, Victor, who holds British nationality, is assigned to the security portfolio with a government salary of HK134150.",1,1
25,2-12582968-1.html.csv,sport,superlative,"Lukáš Melich achieved his highest position at the 2013 world championships in Moscow, Russia, where he came in 3rd.",1,1
26,2-12582968-1.html.csv,sport,aggregation,The average position of Lukáš Melich across all competitions listed is approximately 10th place.,0,0
27,2-12582968-1.html.csv,sport,comparative,"Lukáš Melich performed better at the 2012 Olympic Games than at the 2008 Olympic Games, achieving a higher position and presumably a better score.",1,1
28,2-12582968-1.html.csv,sport,count,There are 10 different competitions listed in which Lukáš Melich participated from 1998 to 2013.,0,1
29,2-12582968-1.html.csv,sport,simple,"Lukáš Melich participated in the Olympic Games twice, once in Beijing, China in 2008 and again in London, Great Britain in 2012.",1,1
30,2-14820149-3.html.csv,sport,aggregation,The total number of points Juan Garriga earned throughout his career is 687.,1,1
31,2-14820149-3.html.csv,sport,superlative,Juan Garriga achieved his highest number of points in a single year in 1988 with 221 points in the 250cc class.,1,1
32,2-14820149-3.html.csv,sport,negation,Juan Garriga did not achieve any wins in the 500cc class throughout his career as per the given data.,1,1
33,2-14820149-3.html.csv,sport,count,There are 5 different years in which Juan Garriga participated in the 250cc class.,1,0
34,2-14820149-3.html.csv,sport,simple,"In 1987, Juan Garriga rode for Ducados-Yamaha in the 250cc class and earned 46 points without any wins.",1,1
35,2-12392766-3.html.csv,sport,aggregation,The average number of gold medals won per country is 2.5.,1,1
36,2-12392766-3.html.csv,sport,superlative,Russia and the United States achieved the highest number of gold medals with 10 each.,1,1
37,2-12392766-3.html.csv,sport,comparative,"The United States has a higher total medal count than Russia, with 36 medals compared to Russia's 28.",1,1
38,2-12392766-3.html.csv,sport,count,There are 8 countries that won at least one bronze medal in the tournament.,1,1
39,2-12392766-3.html.csv,sport,ordinal,The United States is the first country to achieve 10 gold medals in the tournament.,1,1
40,2-1140095-1.html.csv,sport,simple,The South African Grand Prix was won by Jim Clark driving for Lotus-Ford.,1,1
41,2-1140095-1.html.csv,sport,count,There were 4 different winners of the grand prix races who also achieved the pole position in their respective races.,1,1
42,2-1140095-1.html.csv,sport,superlative,Graham Hill achieved the most wins among all drivers with 3 victories in the season.,1,1
43,2-1140095-1.html.csv,sport,unique,Each grand prix had a unique winning driver and constructor combination except for Lotus-Ford which appeared multiple times but not consecutively.,1,1
44,2-1140095-1.html.csv,sport,ordinal,"The first race of the season was the South African Grand Prix, held on January 1 at Kyalami circuit.",1,1
45,2-1123180-2.html.csv,sport,superlative,Michael Schumacher achieved the fastest time in the 1993 Portuguese Grand Prix with a time of 1:32:46.309.,1,1
46,2-1123180-2.html.csv,sport,count,"There were 24 drivers who participated in the 1993 Portuguese Grand Prix, as indicated by the number of unique entries in the driver column.",1,0
47,2-1123180-2.html.csv,sport,comparative,"Damon Hill had a better starting grid position than Michael Schumacher, with Hill starting at grid position 1 and Schumacher at position 6.",1,0
