,csv_ids,domain,label,prediction,TAPEX,TAPAS
0,2-1458666-4.html.csv,sport,superlative,The United States has won the most individual championships with 31 victories.,1,1
1,2-1458666-4.html.csv,sport,aggregation,There is a total of 50 wins across all nations in the World Golf Championships.,0,0
2,2-1458666-4.html.csv,sport,comparative,"Australia and England have the same number of total wins, but England has more individual wins than Australia.",0,1
3,2-1458666-4.html.csv,sport,ordinal,The first country to achieve both team and individual wins is South Africa.,1,0
4,2-1458666-4.html.csv,sport,simple,Japan and Wales are the only two nations that have won all their championships through team events.,1,0
5,2-17814838-6.html.csv,sport,superlative,The match between Manchester United and Tottenham Hotspur had the highest attendance in the tournament.,1,1
6,2-17814838-6.html.csv,sport,count,There were five replays during the tournament.,1,0
7,2-17814838-6.html.csv,sport,comparative,Everton's replay against Liverpool drew a higher attendance than their original tie.,0,1
8,2-17814838-6.html.csv,sport,unique,The replay between Aston Villa and Doncaster Rovers is the only match where both teams scored goals in the original tie.,1,0
9,2-17814838-6.html.csv,sport,simple,West Ham United defeated Hartlepool United with a score of 2-0.,0,0
10,2-170969-2.html.csv,mix,superlative,Saint George has the largest area among all parishes in Charlotte County.,1,1
11,2-170969-2.html.csv,mix,aggregation,"The total population of all parishes in Charlotte County is 16,598.",1,1
12,2-170969-2.html.csv,mix,comparative,Saint Stephen has a higher population than Saint David but a smaller area.,0,1
13,2-170969-2.html.csv,mix,count,There are three parishes with an area less than 30 square kilometers in Charlotte County.,1,1
14,2-170969-2.html.csv,mix,ordinal,Saint Andrews is the ninth parish by population in Charlotte County.,0,1
15,2-14255774-8.html.csv,sport,count,The Arizona Diamondbacks played 9 games against the Cardinals in September 2008.,1,0
16,2-14255774-8.html.csv,sport,superlative,"The game with the highest attendance was on September 5, 2008, against the Dodgers, with 54,137 fans in attendance.",0,0
17,2-14255774-8.html.csv,sport,aggregation,"The average attendance for games played against the Giants in September 2008 was approximately 29,649.",1,1
18,2-14255774-8.html.csv,sport,unique,There were no two consecutive games where the Diamondbacks lost by more than one run.,0,1
19,2-14255774-8.html.csv,sport,simple,"On September 18, 2008, the Arizona Diamondbacks won against the Giants with a score of 3-2.",1,1
20,2-17964087-2.html.csv,politics,aggregation,The average age at appointment for the political figures listed is approximately 37.1 years.,1,1
21,2-17964087-2.html.csv,politics,unique,"There are four different foreign nationalities represented among the appointed officials: British, Canadian, Singaporean, and none (n/a).",1,1
22,2-17964087-2.html.csv,politics,count,"Two of the appointed officials have a government salary of HK$163,960.",0,1
23,2-17964087-2.html.csv,politics,ordinal,Victor Lo Yik-kee is the oldest person appointed at the age of 55.,1,1
24,2-17964087-2.html.csv,politics,comparative,Katherine Ng Kit-shuen has a higher government salary than all other officials except Victor Lo Yik-kee and Zandra Mok Yee-tuen.,1,1
25,2-12582968-1.html.csv,sport,superlative,"Lukáš Melich's highest position was 3rd in the world championships held in Moscow, Russia in 2013.",1,1
26,2-12582968-1.html.csv,sport,comparative,Lukáš Melich performed better at the World Championships in Moscow (3rd) than at the European Championships in Gothenburg (15th).,1,1
27,2-12582968-1.html.csv,sport,count,Lukáš Melich participated in a total of 4 Olympic Games.,0,1
28,2-12582968-1.html.csv,sport,simple,"In the year 2003, Lukáš Melich achieved a position of 4th at the Universiade held in Daegu, South Korea with a performance of 71.26 m.",1,1
29,2-12582968-1.html.csv,sport,negation,Lukáš Melich has never won a gold medal in any of his competitions.,1,0
30,2-14820149-3.html.csv,sport,aggregation,Juan Garriga accumulated a total of 658 points across his racing career.,1,1
31,2-14820149-3.html.csv,sport,negation,Juan Garriga never won any races in the 250cc class.,1,0
32,2-14820149-3.html.csv,sport,superlative,"The year with the highest number of points for Juan Garriga was 1988, with 221 points.",1,1
33,2-14820149-3.html.csv,sport,comparative,Juan Garriga scored more points in the 250cc class than in the 500cc class.,0,0
34,2-14820149-3.html.csv,sport,unique,There are no two different teams for Juan Garriga from the same year.,0,0
35,2-12392766-3.html.csv,sport,superlative,The United States achieved the highest total number of medals with 36.,1,1
36,2-12392766-3.html.csv,sport,count,"There are three nations that won exactly one gold medal: South Korea, Sweden, and Japan.",0,0
37,2-12392766-3.html.csv,sport,comparative,Russia has a higher number of total medals than Japan,1,1
38,2-12392766-3.html.csv,sport,ordinal,Canada is the fourth-ranked nation in terms of total medals won.,1,1
39,2-12392766-3.html.csv,sport,unique,"There are no two nations with an equal number of gold, silver and bronze medals.",0,1
40,2-1140095-1.html.csv,sport,superlative,Graham Hill achieved the highest number of pole positions in the 1968 Formula One season.,1,1
41,2-1140095-1.html.csv,sport,unique,"There are three different tyre types used across all races: F, D, and G.",1,1
42,2-1140095-1.html.csv,sport,comparative,Jackie Stewart won more races than any other driver in the 1968 Formula One season.,1,1
43,2-1140095-1.html.csv,sport,count,There are 3 different constructors that won at least one race during the 1968 Formula One season.,1,1
44,2-1140095-1.html.csv,sport,simple,"The South African Grand Prix was the first race of the 1968 Formula One season, held on January 1st and won by Jim Clark driving a Lotus-Ford with F tyres.",1,1
45,2-1123180-2.html.csv,sport,superlative,Michael Schumacher achieved the fastest lap time of 1:32:46.309.,1,1
46,2-1123180-2.html.csv,sport,comparative,Damon Hill completed more laps than Alain Prost but finished behind him in race.,0,0
47,2-1123180-2.html.csv,sport,count,There were 15 drivers who retired from the race due to various reasons.,0,0
48,2-1123180-2.html.csv,sport,ordinal,"Ayrton Senna, starting from the fourth position on the grid, finished in the lowest number of laps among all participants.",0,1
49,2-1123180-2.html.csv,sport,unique,There are 15 different constructors represented in the race.,1,0
50,1-2419754-1.html.csv,sport,superlative,The University of Cincinnati has the highest enrollment among the listed institutions.,1,1
51,1-2419754-1.html.csv,sport,unique,There are no two different institutions from the same location in the table.,1,1
52,1-2419754-1.html.csv,sport,count,There were 6 institutions that joined the Great Midwest Conference in 1991.,1,1
53,1-2419754-1.html.csv,sport,all,All of the listed institutions left the conference in 1995.,1,1
54,1-2419754-1.html.csv,sport,superlative,"St. Louis University is the oldest institution among those listed, founded in 1818.",1,1
55,2-17746881-1.html.csv,sport,comparative,FC Nantes scored fewer goals in the second round than Paris SG.,1,1
56,2-17746881-1.html.csv,sport,count,There are 3 matches where Division 1 teams lost to Division 2 teams.,1,1
57,2-17746881-1.html.csv,sport,simple,Olympique de Marseille won against Sporting Toulon Var with a final score of 3-2 in the second round.,0,1
58,2-17746881-1.html.csv,sport,superlative,"AJ Auxerre scored the most goals overall, totaling 5.",0,1
59,2-17746881-1.html.csv,sport,unique,There are no two different players from the same team in the table.,0,0
60,1-23157997-13.html.csv,sport,superlative,Tom Zirbel achieved the highest general classification overall.,1,1
61,1-23157997-13.html.csv,sport,aggregation,Lucas Sebastian Haedo won a total of two stages during the 2009 Nature Valley Grand Prix.,1,1
62,1-23157997-13.html.csv,sport,negation,Andrew Crater did not win any stage but achieved first place in the general classification on Stage 5.,1,0
63,1-23157997-13.html.csv,sport,comparative,"Tom Zirbel won more stages than Lucas Sebastian Haedo, who tied for two wins.",1,1
64,1-23157997-13.html.csv,sport,unique,There are six different winners across the six stages of the 2009 Nature Valley Grand Prix.,1,1
65,2-187504-13.html.csv,sport,superlative,The Soviet Union achieved the highest number of gold medals with 11.,1,1
66,2-187504-13.html.csv,sport,comparative,"East Germany had more silver medals than any other nation, with a total of 10.",1,1
67,2-187504-13.html.csv,sport,aggregation,The average number of gold medals per country in the top ten is approximately 4.36.,1,1
68,2-187504-13.html.csv,sport,unique,"There are three nations that won exactly two gold medals: the United States, Italy and West Germany.",1,1
69,2-187504-13.html.csv,sport,ordinal,The first country to achieve zero total medals is Canada.,0,1
70,2-18855244-2.html.csv,mix,superlative,Michael Phelps holds the record for the most medals with 21.,1,1
71,2-18855244-2.html.csv,mix,count,There are 3 athletes who won 6 or more medals in athletics.,1,1
72,2-18855244-2.html.csv,mix,unique,"There is only one athlete from Finland among the multiple medalists listed, Paavo Nurmi.",1,1
73,2-18855244-2.html.csv,mix,comparative,Paavo Nurmi has more medals than any other athlete in athletics except for Michael Phelps and Carl Osburn.,0,1
74,2-18855244-2.html.csv,mix,simple,"Larisa Latynina won her first medal on October 21, 1964.",0,1
75,2-14076898-4.html.csv,sport,superlative,The team with the highest goal difference scored 51 goals.,1,1
76,2-14076898-4.html.csv,sport,aggregation,"On average, each team played 7 games and accumulated a total of 52 points across all teams.",1,1
77,2-14076898-4.html.csv,sport,negation,No team managed to win all their matches as no one has zero losses,1,0
78,2-14076898-4.html.csv,sport,comparative,The team that lost the most games (7) scored fewer points than the team that lost the fewest games (1).,1,0
79,2-14076898-4.html.csv,sport,simple,There are two teams with a goal difference of 40 - 13 and 51 - 10.,1,1
80,2-16045118-20.html.csv,mix,count,There are 4 instances where an actor was nominated for multiple awards in the same year.,1,1
81,2-16045118-20.html.csv,mix,unique,Diana Ross is the only actress who won and was also nominated in the same year.,0,1
82,2-16045118-20.html.csv,mix,superlative,Whoopi Goldberg has the most Golden Globe wins with 2 awards.,1,1
83,2-16045118-20.html.csv,mix,simple,The first Black actress to win a Golden Globe was Diana Ross for her role in 'Lady Sings the Blues' in 1973.,1,1
